serial_number,first_observation_date,last_observation_date,observed_days,is_failed,overall_max_probability,overall_mean_probability,failure_date,eligible_max_probability,eligible_mean_probability,eligible_observed_days,alerted_primary,alert_days_primary,first_alert_date_primary,alerted_high_recall,alert_days_high_recall,first_alert_date_high_recall,error_group,lead_time_days_primary,lead_time_days_high_recall,probability_gap_to_primary,failure_detection_tier,miss_pattern
6210A02XFVKG,2023-10-02,2023-10-02,1,1,0.37098527147387156,0.37098527147387156,2023-10-02,0.37098527147387156,0.37098527147387156,1,False,0,,True,1,2023-10-02,false_negative,,0.0,0.3290147285261284,detected_only_at_0.35,short_history_under_7_days
6210A08MFVKG,2023-10-11,2023-10-12,2,1,0.3630029231485883,0.3630029231485883,2023-10-12,0.3630029231485883,0.3630029231485883,2,False,0,,True,2,2023-10-11,false_negative,,1.0,0.33699707685141167,detected_only_at_0.35,short_history_under_7_days
6250A01BFVKG,2023-10-06,2023-11-19,15,1,0.3341195270929709,0.3341195270929708,2023-11-19,0.3341195270929709,0.3341195270929708,15,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
6250A0ZEFVKG,2023-10-01,2023-11-14,16,1,0.6269840412119378,0.47359441477555014,2023-11-14,0.6269840412119378,0.47359441477555014,16,False,0,,True,15,2023-10-05,false_negative,,40.0,0.07301595878806211,detected_only_at_0.35,near_miss_0.60_to_0.70
6250A158FVKG,2023-10-01,2023-11-16,12,1,0.37098527147387156,0.34903737285212016,2023-11-16,0.37098527147387156,0.34903737285212016,12,False,0,,True,1,2023-11-16,false_negative,,0.0,0.3290147285261284,detected_only_at_0.35,moderate_signal_0.35_to_0.60
6260A025FVKG,2023-10-06,2023-12-24,25,1,0.5566198615748282,0.4493221523808866,2023-12-24,0.5566198615748282,0.4493221523808866,25,False,0,,True,25,2023-10-06,false_negative,,79.0,0.14338013842517172,detected_only_at_0.35,moderate_signal_0.35_to_0.60
6260A0BJFVKG,2023-10-03,2023-10-27,8,1,0.3392101623784625,0.33889873164043754,2023-10-27,0.3392101623784625,0.33889873164043754,8,False,0,,False,0,,false_negative,,,0.36078983762153743,missed_even_at_0.35,weak_signal_below_0.35
6280A020FVKG,2023-10-02,2023-11-10,12,1,0.3341195270929709,0.3341195270929709,2023-11-10,0.3341195270929709,0.3341195270929709,12,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,weak_signal_below_0.35
6280A0JSFVKG,2023-10-01,2023-12-20,25,1,0.44626588616368035,0.39760701641170143,2023-12-20,0.44626588616368035,0.39760701641170143,25,False,0,,True,25,2023-10-01,false_negative,,80.0,0.2537341138363196,detected_only_at_0.35,moderate_signal_0.35_to_0.60
6290A02VFVKG,2023-10-01,2023-10-22,5,1,0.372080704755176,0.3602324204919572,2023-10-22,0.372080704755176,0.3602324204919572,5,False,0,,True,3,2023-10-01,false_negative,,21.0,0.32791929524482394,detected_only_at_0.35,short_history_under_7_days
62A0A022FVKG,2023-10-03,2023-11-04,12,1,0.49822468028169364,0.378308861006873,2023-11-04,0.49822468028169364,0.378308861006873,12,False,0,,True,5,2023-10-14,false_negative,,21.0,0.2017753197183063,detected_only_at_0.35,moderate_signal_0.35_to_0.60
7030A0CTF97G,2023-10-07,2023-12-08,17,1,0.34245999409712896,0.34245999409712896,2023-12-08,0.34245999409712896,0.34245999409712896,17,False,0,,False,0,,false_negative,,,0.357540005902871,missed_even_at_0.35,weak_signal_below_0.35
70E0A13VF97G,2023-10-01,2023-10-19,5,1,0.3341195270929709,0.3341195270929709,2023-10-19,0.3341195270929709,0.3341195270929709,5,False,0,,False,0,,false_negative,,,0.3658804729070291,missed_even_at_0.35,short_history_under_7_days
70P0A0DJFV8G,2023-10-03,2023-12-21,25,1,0.3348234870593261,0.3348234870593261,2023-12-21,0.3348234870593261,0.3348234870593261,25,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,weak_signal_below_0.35
78B0A04EF97G,2023-10-09,2023-10-09,1,1,0.34716580956780807,0.34716580956780807,2023-10-09,0.34716580956780807,0.34716580956780807,1,False,0,,False,0,,false_negative,,,0.3528341904321919,missed_even_at_0.35,short_history_under_7_days
78P0A00RF97G,2023-10-02,2023-10-16,7,1,0.3385182318271604,0.3385182318271604,2023-10-16,0.3385182318271604,0.3385182318271604,7,False,0,,False,0,,false_negative,,,0.36148176817283956,missed_even_at_0.35,weak_signal_below_0.35
7LZ029TG,2023-10-02,2023-10-05,3,1,0.3348234870593261,0.3348234870593261,2023-10-05,0.3348234870593261,0.3348234870593261,3,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,short_history_under_7_days
7QT02S4X,2023-10-03,2023-10-15,4,1,0.3348234870593261,0.3348234870593261,2023-10-15,0.3348234870593261,0.3348234870593261,4,False,0,,False,0,,false_negative,,,0.3651765129406739,missed_even_at_0.35,short_history_under_7_days
8160A23UFVKG,2023-10-01,2023-10-27,11,1,0.34245999409712896,0.34245999409712896,2023-10-27,0.34245999409712896,0.34245999409712896,11,False,0,,False,0,,false_negative,,,0.357540005902871,missed_even_at_0.35,weak_signal_below_0.35
8180A0Z7FVKG,2023-10-02,2023-11-06,10,1,0.6515003301382127,0.6096549047857434,2023-11-06,0.6515003301382127,0.6096549047857434,10,False,0,,True,10,2023-10-02,false_negative,,35.0,0.04849966986178722,detected_only_at_0.35,near_miss_0.60_to_0.70
